Archivo,Fecha,Etiqueta_binaria,Etiqueta_multiple
f1p1img218,2025-05-05,enfermo,roya_nivel_1
f1p1img219,2025-05-05,saludable,saludable
f1p1img220,2025-05-05,saludable,saludable
f1p1img221,2025-05-05,enfermo,roya_nivel_1
f1p1img222,2025-05-05,saludable,saludable
f1p1img223,2025-05-05,saludable,saludable
f1p1img224,2025-05-05,saludable,saludable
f1p1img225,2025-05-05,saludable,saludable
f1p1img226,2025-05-05,enfermo,roya_nivel_3
f1p1img227,2025-05-05,saludable,saludable
f1p1img228,2025-05-05,enfermo,roya_nivel_1
f1p1img229,2025-05-05,enfermo,roya_nivel_1
f1p1img230,2025-05-05,enfermo,roya_nivel_1
f1p1img231,2025-05-05,enfermo,roya_nivel_1
f1p1img232,2025-05-05,saludable,saludable
f1p1img233,2025-05-05,enfermo,roya_nivel_1
f1p1img234,2025-05-05,enfermo,roya_nivel_2
f1p1img235,2025-05-05,saludable,saludable
f1p1img236,2025-05-05,enfermo,roya_nivel_1
f1p1img237,2025-05-05,saludable,saludable
f1p1img238,2025-05-05,saludable,saludable
f1p1img239,2025-05-05,saludable,saludable
f1p1img240,2025-05-05,enfermo,roya_nivel_1
f1p1img241,2025-05-05,saludable,saludable
f1p1img242,2025-05-05,saludable,saludable
f1p1img243,2025-05-05,saludable,saludable
f1p1img244,2025-05-05,enfermo,roya_nivel_1
f1p1img245,2025-05-05,enfermo,roya_nivel_1
f1p1img246,2025-05-05,saludable,saludable
f1p1img247,2025-05-05,saludable,saludable
f1p1img248,2025-05-05,enfermo,roya_nivel_1
f1p1img249,2025-05-05,saludable,saludable
f1p1img250,2025-05-05,enfermo,roya_nivel_1
f1p1img251,2025-05-06,saludable,saludable
f1p1img252,2025-05-06,enfermo,roya_nivel_1
f1p1img253,2025-05-06,saludable,saludable
f1p1img254,2025-05-06,enfermo,roya_nivel_1
f1p1img255,2025-05-06,saludable,saludable
f1p1img256,2025-05-06,enfermo,roya_nivel_2
f1p1img257,2025-05-06,saludable,saludable
f1p1img258,2025-05-06,enfermo,roya_nivel_1
f1p1img259,2025-05-06,saludable,saludable
f1p1img260,2025-05-06,saludable,saludable
f1p1img261,2025-05-06,saludable,saludable
f1p1img262,2025-05-06,enfermo,roya_nivel_1
f1p1img263,2025-05-06,saludable,saludable
f1p1img264,2025-05-06,enfermo,roya_nivel_3
f1p1img265,2025-05-06,saludable,saludable
f1p1img266,2025-05-06,enfermo,roya_nivel_1
f1p1img267,2025-05-06,saludable,saludable
f1p1img268,2025-05-06,enfermo,roya_nivel_1
f1p1img269,2025-05-06,saludable,saludable
f1p1img270,2025-05-06,saludable,saludable
f1p1img271,2025-05-06,enfermo,roya_nivel_1
f1p1img272,2025-05-06,saludable,saludable
f1p1img273,2025-05-06,enfermo,roya_nivel_1
f1p1img274,2025-05-06,saludable,saludable
f1p1img275,2025-05-06,enfermo,roya_nivel_1
f1p1img276,2025-05-06,enfermo,roya_nivel_1
f1p1img277,2025-05-06,saludable,saludable
f1p1img278,2025-05-06,enfermo,roya_nivel_1
f1p1img279,2025-05-06,enfermo,roya_nivel_1
f1p1img280,2025-05-06,saludable,saludable
f1p1img281,2025-05-06,enfermo,roya_nivel_1
f1p1img282,2025-05-06,saludable,saludable
f1p1img283,2025-05-06,enfermo,roya_nivel_1
f1p1img284,2025-05-06,enfermo,roya_nivel_1
f1p1img285,2025-05-06,saludable,saludable
f1p1img286,2025-05-06,enfermo,roya_nivel_4
f1p1img287,2025-05-06,saludable,saludable
f1p1img288,2025-05-06,enfermo,roya_nivel_1
f1p1img289,2025-05-06,enfermo,roya_nivel_1
f1p1img290,2025-05-06,enfermo,roya_nivel_1
f1p1img291,2025-05-06,saludable,saludable
f1p1img292,2025-05-06,saludable,saludable
f1p1img293,2025-05-06,enfermo,roya_nivel_1
f1p1img294,2025-05-06,enfermo,roya_nivel_1
f1p1img295,2025-05-06,saludable,saludable
f1p1img296,2025-05-06,enfermo,roya_nivel_1
f1p1img297,2025-05-06,saludable,saludable
f1p1img298,2025-05-06,enfermo,roya_nivel_1
f1p1img299,2025-05-06,enfermo,roya_nivel_1
f1p1img300,2025-05-06,saludable,saludable
f1p1img301,2025-05-07,saludable,saludable
f1p1img302,2025-05-07,saludable,saludable
f1p1img303,2025-05-07,enfermo,roya_nivel_1
f1p1img304,2025-05-07,saludable,saludable
f1p1img305,2025-05-07,enfermo,roya_nivel_1
f1p1img306,2025-05-07,saludable,saludable
f1p1img307,2025-05-07,enfermo,roya_nivel_1
f1p1img308,2025-05-07,saludable,saludable
f1p1img309,2025-05-07,enfermo,roya_nivel_1
f1p1img310,2025-05-07,saludable,saludable
f1p1img311,2025-05-07,saludable,saludable
f1p1img312,2025-05-07,enfermo,roya_nivel_1
f1p1img313,2025-05-07,enfermo,roya_nivel_1
f1p1img314,2025-05-07,saludable,saludable
f1p1img315,2025-05-07,saludable,saludable
f1p1img316,2025-05-07,saludable,saludable
f1p1img317,2025-05-07,enfermo,roya_nivel_1
f1p1img318,2025-05-07,saludable,saludable
f1p1img319,2025-05-07,enfermo,roya_nivel_2
f1p1img320,2025-05-07,saludable,saludable
f1p1img321,2025-05-07,enfermo,roya_nivel_1
f1p1img322,2025-05-07,saludable,saludable
f1p1img323,2025-05-07,saludable,saludable
f1p1img324,2025-05-07,enfermo,roya_nivel_1
f1p1img325,2025-05-07,saludable,saludable
f1p1img326,2025-05-07,saludable,saludable
f1p1img327,2025-05-07,enfermo,roya_nivel_1
f1p1img328,2025-05-07,enfermo,roya_nivel_1
f1p1img329,2025-05-07,saludable,saludable
f1p1img330,2025-05-07,saludable,saludable
f1p1img331,2025-05-07,enfermo,roya_nivel_1
f1p1img332,2025-05-07,saludable,saludable
f1p1img333,2025-05-07,enfermo,roya_nivel_1
f1p1img334,2025-05-07,enfermo,roya_nivel_2
f1p1img335,2025-05-07,saludable,saludable
f1p1img336,2025-05-07,enfermo,roya_nivel_1
f1p1img337,2025-05-07,saludable,saludable
f1p1img338,2025-05-07,enfermo,roya_nivel_1
f1p1img339,2025-05-07,saludable,saludable
f1p1img340,2025-05-07,enfermo,roya_nivel_1
f1p1img341,2025-05-07,enfermo,roya_nivel_1
f1p1img342,2025-05-07,saludable,saludable
f1p1img343,2025-05-07,enfermo,roya_nivel_1
f1p1img344,2025-05-07,enfermo,roya_nivel_1
f1p1img345,2025-05-07,saludable,saludable
f1p1img346,2025-05-07,saludable,saludable
f1p1img347,2025-05-07,enfermo,roya_nivel_1
f1p1img348,2025-05-07,enfermo,roya_nivel_1
f1p1img349,2025-05-07,enfermo,roya_nivel_2
f1p1img350,2025-05-07,saludable,saludable
f1p1img351,2025-05-08,saludable,saludable
f1p1img352,2025-05-08,enfermo,roya_nivel_1
f1p1img353,2025-05-08,enfermo,roya_nivel_1
f1p1img354,2025-05-08,enfermo,roya_nivel_3
f1p1img355,2025-05-08,enfermo,roya_nivel_1
f1p1img356,2025-05-08,saludable,saludable
f1p1img357,2025-05-08,enfermo,roya_nivel_1
f1p1img358,2025-05-08,saludable,saludable
f1p1img359,2025-05-08,enfermo,roya_nivel_1
f1p1img360,2025-05-08,enfermo,roya_nivel_1
f1p1img361,2025-05-08,enfermo,roya_nivel_1
f1p1img362,2025-05-08,enfermo,roya_nivel_1
f1p1img363,2025-05-08,saludable,saludable
f1p1img364,2025-05-08,enfermo,roya_nivel_1
f1p1img365,2025-05-08,enfermo,roya_nivel_1
f1p1img366,2025-05-08,enfermo,roya_nivel_1
f1p1img367,2025-05-08,enfermo,roya_nivel_1
f1p1img368,2025-05-08,saludable,saludable
f1p1img369,2025-05-08,enfermo,roya_nivel_1
f1p1img370,2025-05-08,enfermo,roya_nivel_1
f1p1img371,2025-05-08,enfermo,roya_nivel_1
f1p1img372,2025-05-08,saludable,saludable
f1p1img373,2025-05-08,enfermo,roya_nivel_1
f1p1img374,2025-05-08,saludable,saludable
f1p1img375,2025-05-08,saludable,saludable
f1p1img376,2025-05-08,enfermo,roya_nivel_1
f1p1img377,2025-05-08,saludable,saludable
f1p1img378,2025-05-08,saludable,saludable
f1p1img379,2025-05-08,enfermo,roya_nivel_2
f1p1img380,2025-05-08,enfermo,roya_nivel_2
f1p1img381,2025-05-08,enfermo,roya_nivel_1
f1p1img382,2025-05-08,enfermo,roya_nivel_1
f1p1img383,2025-05-08,enfermo,roya_nivel_3
f1p1img384,2025-05-08,saludable,saludable
f1p1img385,2025-05-08,saludable,saludable
f1p1img386,2025-05-08,saludable,saludable
f1p1img387,2025-05-08,enfermo,roya_nivel_1
f1p1img388,2025-05-08,saludable,saludable
f1p1img389,2025-05-08,enfermo,roya_nivel_2
f1p1img390,2025-05-08,saludable,saludable
f1p1img391,2025-05-08,saludable,saludable
f1p1img392,2025-05-08,enfermo,roya_nivel_1
f1p1img393,2025-05-08,enfermo,roya_nivel_4
f1p1img394,2025-05-08,enfermo,roya_nivel_1
f1p1img395,2025-05-08,saludable,saludable
f1p1img396,2025-05-08,enfermo,roya_nivel_1
f1p1img397,2025-05-08,saludable,saludable
f1p1img398,2025-05-08,enfermo,roya_nivel_1
f1p1img399,2025-05-08,saludable,saludable
f1p1img400,2025-05-08,enfermo,roya_nivel_2
f1p1img401,2025-05-09,saludable,saludable
f1p1img402,2025-05-09,saludable,saludable
f1p1img403,2025-05-09,enfermo,roya_nivel_2
f1p1img404,2025-05-09,saludable,saludable
f1p1img405,2025-05-09,saludable,saludable
f1p1img406,2025-05-09,saludable,saludable
f1p1img407,2025-05-09,enfermo,roya_nivel_2
f1p1img408,2025-05-09,enfermo,roya_nivel_1
f1p1img409,2025-05-09,enfermo,roya_nivel_2
f1p1img410,2025-05-09,enfermo,roya_nivel_2
f1p1img411,2025-05-09,enfermo,roya_nivel_1
f1p1img412,2025-05-09,enfermo,roya_nivel_2
f1p1img413,2025-05-09,enfermo,roya_nivel_2
f1p1img414,2025-05-09,enfermo,roya_nivel_2
f1p1img415,2025-05-09,saludable,saludable
f1p1img416,2025-05-09,enfermo,roya_nivel_2
f1p1img417,2025-05-09,enfermo,roya_nivel_1
f1p1img418,2025-05-09,saludable,saludable
f1p1img419,2025-05-09,enfermo,roya_nivel_1
f1p1img420,2025-05-09,enfermo,roya_nivel_1
f1p1img421,2025-05-09,saludable,saludable
f1p1img422,2025-05-09,enfermo,roya_nivel_1
f1p1img423,2025-05-09,enfermo,roya_nivel_2
f1p1img424,2025-05-09,saludable,saludable
f1p1img425,2025-05-09,enfermo,roya_nivel_1
f1p1img426,2025-05-09,saludable,saludable
f1p1img427,2025-05-09,saludable,saludable
f1p1img428,2025-05-09,enfermo,roya_nivel_3
f1p1img429,2025-05-09,saludable,saludable
f1p1img430,2025-05-09,saludable,saludable
f1p1img431,2025-05-09,saludable,saludable
f1p1img432,2025-05-09,enfermo,roya_nivel_3
f1p1img433,2025-05-09,enfermo,roya_nivel_3
f1p1img434,2025-05-09,enfermo,roya_nivel_1
f1p1img435,2025-05-09,saludable,saludable
f1p1img436,2025-05-09,saludable,saludable
f1p1img437,2025-05-09,saludable,saludable
f1p1img438,2025-05-09,saludable,saludable
f1p1img439,2025-05-09,saludable,saludable
f1p1img440,2025-05-09,saludable,saludable
f1p1img441,2025-05-09,enfermo,roya_nivel_1
f1p1img442,2025-05-09,enfermo,roya_nivel_1
f1p1img443,2025-05-09,enfermo,roya_nivel_3
f1p1img444,2025-05-09,saludable,saludable
f1p1img445,2025-05-09,saludable,saludable
f1p1img446,2025-05-09,enfermo,roya_nivel_2
f1p1img447,2025-05-09,enfermo,roya_nivel_3
f1p1img448,2025-05-09,enfermo,roya_nivel_2
f1p1img449,2025-05-09,saludable,saludable
f1p1img450,2025-05-09,saludable,saludable
f1p1img451,2025-05-10,enfermo,roya_nivel_1
f1p1img452,2025-05-10,saludable,saludable
f1p1img453,2025-05-10,saludable,saludable
f1p1img454,2025-05-10,saludable,saludable
f1p1img455,2025-05-10,enfermo,roya_nivel_1
f1p1img456,2025-05-10,saludable,saludable
f1p1img457,2025-05-10,enfermo,roya_nivel_1
f1p1img458,2025-05-10,saludable,saludable
f1p1img459,2025-05-10,enfermo,roya_nivel_2
f1p1img460,2025-05-10,saludable,saludable
f1p1img461,2025-05-10,enfermo,roya_nivel_2
f1p1img462,2025-05-10,enfermo,roya_nivel_2
f1p1img463,2025-05-10,saludable,saludable
f1p1img464,2025-05-10,enfermo,roya_nivel_1
f1p1img465,2025-05-10,enfermo,roya_nivel_1
f1p1img466,2025-05-10,enfermo,roya_nivel_1
f1p1img467,2025-05-10,saludable,saludable
f1p1img468,2025-05-10,enfermo,roya_nivel_1
f1p1img469,2025-05-10,enfermo,roya_nivel_1
f1p1img470,2025-05-10,saludable,saludable
f1p1img471,2025-05-10,enfermo,roya_nivel_1
f1p1img472,2025-05-10,saludable,saludable
f1p1img473,2025-05-10,saludable,saludable
f1p1img474,2025-05-10,saludable,saludable
f1p1img475,2025-05-10,enfermo,roya_nivel_1
f1p1img476,2025-05-10,enfermo,roya_nivel_1
f1p1img477,2025-05-10,enfermo,roya_nivel_1
f1p1img478,2025-05-10,enfermo,roya_nivel_1
f1p1img479,2025-05-10,enfermo,roya_nivel_1
f1p1img480,2025-05-10,enfermo,roya_nivel_1
f1p1img481,2025-05-10,saludable,saludable
f1p1img482,2025-05-10,enfermo,roya_nivel_1
f1p1img483,2025-05-10,enfermo,roya_nivel_1
f1p1img484,2025-05-10,enfermo,roya_nivel_3
f1p1img485,2025-05-10,enfermo,roya_nivel_1
f1p1img486,2025-05-10,saludable,saludable
f1p1img487,2025-05-10,saludable,saludable
f1p1img488,2025-05-10,saludable,saludable
f1p1img489,2025-05-10,enfermo,roya_nivel_1
f1p1img490,2025-05-10,saludable,saludable
f1p1img491,2025-05-10,saludable,saludable
f1p1img492,2025-05-10,enfermo,roya_nivel_4
f1p1img493,2025-05-10,enfermo,roya_nivel_1
f1p1img494,2025-05-10,saludable,saludable
f1p1img495,2025-05-10,enfermo,roya_nivel_1
f1p1img496,2025-05-10,enfermo,roya_nivel_1
f1p1img497,2025-05-10,enfermo,roya_nivel_1
f1p1img498,2025-05-10,enfermo,roya_nivel_3
f1p1img499,2025-05-10,enfermo,roya_nivel_1
f1p1img500,2025-05-10,enfermo,roya_nivel_2
f1p1img501,2025-05-11,saludable,saludable
f1p1img502,2025-05-11,saludable,saludable
f1p1img503,2025-05-11,enfermo,roya_nivel_1
f1p1img504,2025-05-11,enfermo,roya_nivel_1
f1p1img505,2025-05-11,saludable,saludable
f1p1img506,2025-05-11,enfermo,roya_nivel_1
f1p1img507,2025-05-11,saludable,saludable
f1p1img508,2025-05-11,saludable,saludable
f1p1img509,2025-05-11,saludable,saludable
f1p1img510,2025-05-11,saludable,saludable
f1p1img511,2025-05-11,saludable,saludable
f1p1img512,2025-05-11,enfermo,roya_nivel_1
f1p1img513,2025-05-11,saludable,saludable
f1p1img514,2025-05-11,saludable,saludable
f1p1img515,2025-05-11,saludable,saludable
f1p1img516,2025-05-11,saludable,saludable
f1p1img517,2025-05-11,saludable,saludable
f1p1img518,2025-05-11,saludable,saludable
f1p1img519,2025-05-11,enfermo,roya_nivel_3
f1p1img520,2025-05-11,saludable,saludable
f1p1img521,2025-05-11,saludable,saludable
f1p1img522,2025-05-11,enfermo,roya_nivel_1
f1p1img523,2025-05-11,enfermo,roya_nivel_1
f1p1img524,2025-05-11,saludable,saludable
f1p1img525,2025-05-11,enfermo,roya_nivel_1
f1p1img526,2025-05-11,enfermo,roya_nivel_1
f1p1img527,2025-05-11,enfermo,roya_nivel_3
f1p1img528,2025-05-11,saludable,saludable
f1p1img529,2025-05-11,saludable,saludable
f1p1img530,2025-05-11,enfermo,roya_nivel_1
f1p1img531,2025-05-11,saludable,saludable
f1p1img532,2025-05-11,enfermo,roya_nivel_1
f1p1img533,2025-05-11,enfermo,roya_nivel_1
f1p1img534,2025-05-11,enfermo,roya_nivel_1
f1p1img535,2025-05-11,saludable,saludable
f1p1img536,2025-05-11,enfermo,roya_nivel_1
f1p1img537,2025-05-11,saludable,saludable
f1p1img538,2025-05-11,enfermo,roya_nivel_3
f1p1img539,2025-05-11,saludable,saludable
f1p1img540,2025-05-11,enfermo,roya_nivel_2
f1p1img541,2025-05-11,saludable,saludable
f1p1img542,2025-05-11,enfermo,roya_nivel_1
f1p1img543,2025-05-11,saludable,saludable
f1p1img544,2025-05-11,enfermo,roya_nivel_1
f1p1img545,2025-05-11,saludable,saludable
f1p1img546,2025-05-11,enfermo,roya_nivel_1
f1p1img547,2025-05-11,saludable,saludable
f1p1img548,2025-05-11,enfermo,roya_nivel_1
f1p1img549,2025-05-11,enfermo,roya_nivel_1
f1p1img550,2025-05-12,saludable,saludable
f1p1img551,2025-05-12,enfermo,roya_nivel_1
f1p1img552,2025-05-12,saludable,saludable
f1p1img553,2025-05-12,saludable,saludable
f1p1img554,2025-05-12,enfermo,roya_nivel_1
f1p1img555,2025-05-12,saludable,saludable
f1p1img556,2025-05-12,enfermo,roya_nivel_1
f1p1img557,2025-05-12,saludable,saludable
